ID,name,Descrição,description_pt,description_es,description_en,website,city,placesOfOriginNames,incidencyReach,parentHub,technologyType,purpose,incidencyType,themes,secondaryThemes,mecanismos,isOpenLicense,notes,"(sinais) Existem cadastramentos que derivam da iniciativa que acabou de classificar? Se sim, marque:",Quais? usar ;,Quais?,Quais?,Coletiva (HUB),Conexão e Diálogo ,Sensibilização,Formação,Produção de Conhecimento,Levantamento e Visualização de Informação,Fomento,Fiscalização e Monitoramento,Disseminação,Mobilização e Pressão,Contribuição e Colaboração
129,El Observador,"El esquema metodológico de El observador.hn consiste en utilizar técnicas de investigación periodística que confrontan el discurso público manifestado por actores estatales, contra los datos oficiales de organizaciones de la Sociedad Civil, Secretarias de Estado, Organismos Internacionales, notas periodísticas y reflexiones o comentarios de analistas expertos.","A metodologia do El observador.hn consiste em usar técnicas de jornalismo investigativo que confrontem o discurso público expresso por agentes estatais com os dados oficiais de organizações da sociedade civil, Secretarias de Estado, organizações internacionais, notícias e reflexões ou comentários de analistas especializados.","El esquema metodológico de El observador.hn consiste en utilizar técnicas de investigación periodística que confrontan el discurso público manifestado por actores estatales, contra los datos oficiales de organizaciones de la Sociedad Civil, Secretarias de Estado, Organismos Internacionales, notas periodísticas y reflexiones o comentarios de analistas expertos.","El observador.hn methodology consists in using investigative journalism techniques to confront public speech from state agents, based in official data of civil society organizations, State Secretaries, international organs, news and reflections or commentaries of specialists.",http://www.elobservador.hn/,,Honduras,Nacional,C-Libre,Digital,Empoderamento,,Comunicação Independente,,", Pedagogia política, Estudos, Investigação, Monitoramento, Infoativismo",,,,,,,,,,,Análise de Dados,,,Fact Checking,Portal de Notícias/Blog,,
131,ELLA – Encuentro Latinoamericano de Mujeres,"Realizado por primera vez en Belo Horizonte/Brasil en 2014, el evento reunió cerca de 300 mujeres de 15 países de Iberoamérica y tuvo como principal objetivo ser un espacio para la convergencia entre militantes, movimientos, agentes sociales y/o culturales y todos lxs interesadxs en la constitución de una plataforma común de debates sobre temas ligados a cuestiones de género en América Latina. En 2015 ELLA será realizado en Cochabamba del 7 al 10 de mayo en la sede del proyecto cultural mARTadero en alianza con la Fundación Imagen, Oficina Jurídica para la Mujer, Fora do Eixo, Telartes, Cultura de Red y la Universidad de las Culturas, con el apoyo de HIVOS Sudamérica e Ford Foundation.","Realizado pela primeira vez em Belo Horizonte/Brasil em 2014, o evento reuniu cerca de 300 mulheres de 15 países da América Latina e tem como principal objetivo ser um espaço de convergência entre militantes, movimentos, agentes sociais e/ou culturais e todxs xs interesadxs na criação de uma plataforma comum para discussões sobre temas relacionados às questões de gênero na América Latina. Em 2015, ELLA será realizada em Cochabamba de 7 a 10 de Maio na sede do projeto cultural mARTadero, em parceria com a Fundação Imagen, Gabinete Jurídico para Mulheres, Fora do Eixo, Telartes, Cultura de Red e da Universidad de las Culturas, com o apoio de HIVOS América do Sul e Fundação Ford.","Realizado por primera vez en Belo Horizonte/Brasil en 2014, el evento reunió cerca de 300 mujeres de 15 países de Iberoamérica y tuvo como principal objetivo ser un espacio para la convergencia entre militantes, movimientos, agentes sociales y/o culturales y todos lxs interesadxs en la constitución de una plataforma común de debates sobre temas ligados a cuestiones de género en América Latina. En 2015 ELLA será realizado en Cochabamba del 7 al 10 de mayo en la sede del proyecto cultural mARTadero en alianza con la Fundación Imagen, Oficina Jurídica para la Mujer, Fora do Eixo, Telartes, Cultura de Red y la Universidad de las Culturas, con el apoyo de HIVOS Sudamérica e Ford Foundation.","Held for the first time in Belo Horizonte - Brazil in 2014, the event gathered about 300 women from 15 Latin American countries and has as main purpose to be a convergence space for militants, movements, social and/or cultural agents and all the interested in creating a joint platform for discussion about themes related to gender issues in Latin America. In 2015, ELLA will be realized again, now in Cochabamba - Bolivia, between May 7 and 10, in the headquarters of cultural project mARTadero, in partnership with Fundación Imagen (Imagen Foundation), Oficina Juridica para la Mujer (Juridical Office for Women), Fora do Eixo (Out of Axis), Cultura de Red (Network Culture) and Universidad de las Culturas (University of Cultures), with support of HIVOS South America and Ford Foundation.",http://www.ellas.cc/,,América Latina e Caribe,Regional,Fundación Imagen; Oficina Jurídica para la Mujer; Fora do Eixo; Telartes; Cultura de Red; la Universidad de las Culturas; HIVOS Sudamérica; Ford Foundation,Social,Empoderamento,,Cultura Política,,"Debate político, Roda de conversa, Atividades culturais, Oficina, Cobertura Colaborativa, VideoAtivismo, Encontro",,,,,,,,Festival,,Vivência,,,,,,,
132,Emeequis,"Emeequis es una revista quincenal de circulación nacional cuyo trabajo periodístico está guiado por los principios editoriales de independencia, actitud crítica, pluralidad, la más alta exigencia de calidad en sus contenidos y, sobre todo, la prioridad a la agenda ciudadana. La revista con más reconocimientos nacionales e internacionales a su trabajo periodístico en el medio mexicano, emeequis busca contribuir al empoderamiento de los ciudadanos, de modo que incidan de manera informada en la agenda de las políticas públicas del país, y a la construcción y fortalecimiento de una democracia sin las profundas desigualdades e iniquidades sociales existentes.","Emeequis é uma revista bimestral nacional cujo trabalho jornalístico é guiado pelos princípios editoriais da independência, atitude crítica, pluralidade, a mais alta exigência de qualidade em seus conteúdos e, acima de tudo, a prioridade de uma agenda de direitos civis. A revista com mais prêmios nacionais e internacionais por seu trabalho jornalístico nos meios de comunicação mexicanos, Emeequis busca contribuir para o empoderamento dos cidadãos, de modo que atuem de maneira informada na agenda das políticas públicas no país, e para a construção e fortalecimento de uma democracia sem as profundas desigualdades e iniquidades sociais existentes.","Emeequis es una revista quincenal de circulación nacional cuyo trabajo periodístico está guiado por los principios editoriales de independencia, actitud crítica, pluralidad, la más alta exigencia de calidad en sus contenidos y, sobre todo, la prioridad a la agenda ciudadana. La revista con más reconocimientos nacionales e internacionales a su trabajo periodístico en el medio mexicano, Emeequis busca contribuir al empoderamiento de los ciudadanos, de modo que incidan de manera informada en la agenda de las políticas públicas del país, y a la construcción y fortalecimiento de una democracia sin las profundas desigualdades e iniquidades sociales existentes.","Emequis (MX) is a national bimonthly magazine with journalistic work guided by editorial principles such as independence, critical attitude, plurality, highest quality standards in its contents and, above all, priority of a civil rights agenda. The magazine with more national and international awards for its journalistic work in Mexican media, Emequis aims to contribute with citizen empowerment, so citizens are informed to act in public policy issues in the country, and with the construction and strenghtening of a democracy without the deep inequalities and social iniquities current nowadays.",http://www.m-x.com.mx/,,México,Nacional,,Digital,Empoderamento,,Comunicação Independente,,", Portal",,,,,,,,,,,,,,,"Portal de Notícias/Blog, Reportagem",,
133,Emergências,"O objetivo é pensar a cultura na centralidade das lutas pela ampliação dos direitos e entender as mudanças no campo da política, dos comportamentos, da economia, das artes, e debater a emergência de novos modelos de sociabilidade. Trata-se de criar um território cognitivo e afetivo, um espaço de conexão e diálogos para viver e pensar as aventuras políticas do século XXI. A ideia é reunir coletivos, indivíduos e redes que entendem que a mudança só virá a partir de uma transformação cultural e de mentalidade baseada no respeito à diversidade e em um reencantamento da política.","O objetivo é pensar a cultura na centralidade das lutas pela ampliação dos direitos e entender as mudanças no campo da política, dos comportamentos, da economia, das artes, e debater a emergência de novos modelos de sociabilidade. Trata-se de criar um território cognitivo e afetivo, um espaço de conexão e diálogos para viver e pensar as aventuras políticas do século XXI. A ideia é reunir coletivos, indivíduos e redes que entendem que a mudança só virá a partir de uma transformação cultural e de mentalidade baseada no respeito à diversidade e em um reencantamento da política.","El objetivo es pensar la cultura en el centro de las luchas por la ampliación de los derechos y comprender los cambios en el campo de la política, de los comportamientos, de la economía, de las artes, y debatir la emergencia de nuevos modelos de sociabilidad. Se trata de crear un territorio cognitivo y afectivo, un espacio de conexión y diálogos para vivir y pensar las aventuras políticas del siglo XXI. La idea es reunir colectivos, indivíduos y redes que comprenden que la transformación solo vendrá desde un cambio cultural y de mentalidad basada en el respeto a la diversidad y en un re-encantamiento por la política.","The project's goal is to think culture in the center of struggle to broaden rights and understand changes in the field of politics, behaviors, economy, arts, and debating emergency of new models of sociability. It is about creating cognitive and affective territory, a space of connection and dialogue to live and think twenty-first century political adventures. The idea is to get colletives, individuals and networks together, those who understand that change will only come from a cultural and mindset transformation based on respect for diversity and on political re-astonishment.",http://emergencias.cultura.gov.br/pb/,Rio de Janeiro,Brasil,Internacional,Ministério da Cultura; Fora do Eixo; Universidade Federal Fluminense,Social,Empoderamento,,Cultura Política,,"Debate político, Atividades culturais, Oficina, Cobertura Colaborativa, Festival, Desconferência",,,,,,,,Festival,,Vivência,,,,,,,
134,Empodera,"Se trata de una iniciativa que busca promover la participación política de lesbianas, gays, bisexuales, trans e intersex a través del impulso de liderazgos para una ciudadanía libre, igualitaria, diversa y comprometida.","Trata-se de uma iniciativa que visa promover a participação política de lésbicas, gays, bissexual, trans e intersexo através do impulso de lideranças para uma cidadania livre, igualitária, diversificada e comprometida.","Se trata de una iniciativa que busca promover la participación política de lesbianas, gays, bisexuales, trans e intersex a través del impulso de liderazgos para una ciudadanía libre, igualitaria, diversa y comprometida.","An initiative that promotes lesbian, gay, bissexual, trans and intersex political participation starting from the impulse of leaderships seeking free, equal, diversified and commited citizenship.",http://www.empoderalgtbi.pe/,Lima,Peru,Nacional,PROMSEX; Fundación Triángulo; Gay Lesbian Victory Institute,Social,Empoderamento,,Cultura Política,,"Debate, Pedagogia política, Curso",,,,,,,,,,Curso,,,,,,,
135,En Otros Zapatos,"EnOtrosZapatos.Org es una plataforma para fomentar la empatía y resaltar la importancia de la diversidad. Esta iniciativa del Laboratorio de Ideas del BID promueve el reconocimiento de 5 colectivos sociales: personas con discapacidad, inmigrantes, indígenas, LGBT y afrodescendientes a través de una experiencia de realidad alternativa donde los ciudadanos mediante el juego van más allá de sus prejuicios y ven con otros ojos las problemáticas, retos, motivaciones, sueños y desafíos que enfrentan día a día estas comunidades.","EnOtrosZapatos.Org é uma plataforma para promover a empatia e enfatizar a importância da diversidade. Esta iniciativa do Laboratório de Ideias BID promove o reconhecimento de 5 grupos sociais: as pessoas com deficiência, imigrantes, povos indígenas, LGBT e afrodescendentes através de uma experiência de realidade alternativa, onde os cidadãos possam ir, através do jogo, além de seus preconceitos e vejam com outros olhos os problemas, desafios, motivações, sonhos e desafios que estas comunidades enfrentam diariamente.","EnOtrosZapatos.Org es una plataforma para fomentar la empatía y resaltar la importancia de la diversidad. Esta iniciativa del Laboratorio de Ideas del BID promueve el reconocimiento de 5 colectivos sociales: personas con discapacidad, inmigrantes, indígenas, LGBT y afrodescendientes a través de una experiencia de realidad alternativa donde los ciudadanos mediante el juego van más allá de sus prejuicios y ven con otros ojos las problemáticas, retos, motivaciones, sueños y desafíos que enfrentan día a día estas comunidades.","EnOtrosZapatos.Org is a platform to promote empathy and enphasize the importance of diversity. This initiave of IBD's Laboratory of Ideas promotes the recognition of five social groups: people with disabilities, immigrants, indigenous people, LGBT and Afrodescendants, using an experience of alternative reality, where citizens can go, in a game, beyond their prejudices and see with other eyes problems, challenges, motivations and dreams these communities face daily.",http://enotroszapatos.org/,,América Latina e Caribe,Regional,Gobapp; Bid,Digital,Empoderamento,,Cultura Política,,", Vivência, Jogo",false,,,,,,,,Campanha de Sensibilização,Vivência,,Banco de dados,,,,,
136,Encuentro de Liderazgos Politicos LGBTI,El Encuentro de Liderazgos Políticos LGBTI de América Latina y el Caribe,O Encontro de Líderes Políticos LGBTI na América Latina e no Caribe.,El Encuentro de Liderazgos Políticos LGBTI de América Latina y el Caribe,Encuentro de Liderazgos Politicos LGBTI (Meeting of LGBTI Political Leaders) in the Caribbean and Latin America.,http://www.liderazgolgbt.com/en/,,América Latina e Caribe,Regional,Asociación Jóvenes en Movimientol Corporación Caribe Afirmativo; Gay & Lesbian Victory Institute; Promsex; ONUSIDA; Hivos; NED; Friedrich Ebert Stiftung; National Democratic Institute; InterAmerican Foundation; Astraea; USAID,Social,Empoderamento,,Cultura Política,,"Debate político, Encontro",,,,,,,,"Eventos (Seminário, Fórum, Colóquio, Conferência, Debate, Roda de Conversa e encontros )",,,,,,,,,
137,Ensaios Urbanos,"O Concurso Nacional Ensaios Urbanos: Desenhos para o Zoneamento de São Paulo”, promovido pela Prefeitura de São Paulo e organizado pelo Instituto de Arquitetos do Brasil – Departamento de São Paulo (IAB-SP) teve por objetivo democratizar e qualificar o debate sobre o ordenamento territorial, abrindo um espaço de contribuição dos arquitetos para subsidiar o Processo Participativo de Revisão do Zoneamento em 2014. ","O Concurso Nacional Ensaios Urbanos: Desenhos para o Zoneamento de São Paulo”, promovido pela Prefeitura de São Paulo e organizado pelo Instituto de Arquitetos do Brasil – Departamento de São Paulo (IAB-SP) teve por objetivo democratizar e qualificar o debate sobre o ordenamento territorial, abrindo um espaço de contribuição dos arquitetos para subsidiar o Processo Participativo de Revisão do Zoneamento em 2014. ","El Concurso Nacional Ensaios Urbanos: Desenhos para o Zoneamento de São Paulo (Concurso Nacional Ensayos Urbanos: Dibujos para el Zoneamento de São Paulo), promovido por la Alcaldía de São Paulo y organizado por el Instituto de Arquitectos de Brasil – Departamento de São Paulo (IAB-SP) tuvo por objetivo democratizar y calificar el debate sobre la demarcación territorial, abriendo un espacio de contribución de los arquitectos para subsidiar el Proceso Participativo de Revisión del Zoneamento en 2014.","The National Contest Ensaios Urbanos: Desenhos para o Zoneamento de São Paulo (Urban Assays: Projects for São Paulo's Zoning), promoted by São Paulo City Hall and organized by Brazil Architects Institute - São Paulo Department (IAB-SP) had the objective of democratize and enhance the debate surrounding land use planning, creating a contribution space for architects to support the Participative Proccess of Zoning Revision in 2014.",http://gestaourbana.prefeitura.sp.gov.br/concurso-nacional-ensaios-urbanos-desenhos-para-o-zoneamento-de-sao-paulo/,São Paulo,Brasil,Local,Prefeitura de São Paulo; Instituto de Arquitetos do Brasil,Social,Incidência,Executivo,Governo 2.0,Participação Cidadã,", Estudos, Repositório, Consulta popular, Crowdsourcing",,,,,,,,,,,,,Concurso,,,,
138,CTZEN,"Entumano es una plataforma de ciudad que CONECTA eFECTIVAMENTE los ciudadanos con las entidades territoriales, sin mucho tramite y en un par de toques a tu pantalla. Bueno, en la búsqueda de hacer que las ciudades sean mas inteligentes y la gestión mucha más efectiva, nació entumano, una plataforma para la gestión de ciudad que INTEGRA ciudadanos con las entidades encargadas de dar solución a un sin número de problemas que suceden en nuestra ciudad","Entumano (Em suas Mãos) é uma plataforma de cidade que conecta de forma eficaz cidadãos com as autoridades locais, sem muitos trâmites e em poucos toques na sua tela. Bem, na tentativa de tornar as cidades mais inteligentes e sua gestão muito mais eficaz, nasceu Entumano, uma plataforma para a gestão da cidade que integra cidadãos com as entidades responsáveis por solucionar uma série de problemas que ocorrem em nossa cidade.","Entumano es una plataforma de ciudad que CONECTA eFECTIVAMENTE los ciudadanos con las entidades territoriales, sin mucho tramite y en un par de toques a tu pantalla. Bueno, en la búsqueda de hacer que las ciudades sean mas inteligentes y la gestión mucha más efectiva, nació entumano, una plataforma para la gestión de ciudad que INTEGRA ciudadanos con las entidades encargadas de dar solución a un sin número de problemas que suceden en nuestra ciudad","Entumano (In your hands) is a city platform that connects effectively citizens with local authorities, without complications and in just a feel screen touches. This platform was born in the attempt of making cities more intelligent and its management much more efficient, city management that integrates citizens and organs responsible to bring solutions to a series of problems that take place in our city.",https://play.google.com/store/apps/details?id=com.geosat.entumano,,América Latina e Caribe,Local,,Digital,Empoderamento,Executivo,Controle Social,Participação Cidadã,", Resident Feedback",,,,,,,,,,,,,,Monitoramento Descentralizado,,,
139,Escala Brasil Transparente,A Escala Brasil Transparente (EBT) é uma metodologia para medir a transparência pública em estados e municípios brasileiros. É um indicador que tem o objetivo de avaliar o grau de cumprimento de dispositivos da Lei de Acesso à Informação.,A Escala Brasil Transparente (EBT) é uma metodologia para medir a transparência pública em estados e municípios brasileiros. É um indicador que tem o objetivo de avaliar o grau de cumprimento de dispositivos da Lei de Acesso à Informação.,La Escala Brasil Transparente (EBT) es una metodología para medir la transparencia pública en estados y municipios brasileños. Es un indicador que tiene por objetivo evaluar el grado de cumplimiento de dispositivos de la Ley de Acceso a la Información.,Escala Brasil Transparente (Brazil Transparent Scale) (EBT) is a methodology to measure public transparency in Brazilian states and municipalities. It is an index to evaluate the degree of compliance with the Law of Access to Information.,http://www.cgu.gov.br/assuntos/transparencia-publica/escala-brasil-transparente,,Brasil,Nacional,Controladoria-Geral da União,Social,Incidência,Não Específicado,Governo 2.0,,", Metodologia, Monitoramento",TRUE,,,,,,,,,,Sistematização de conhecimento,,,Indicadores,,,
140,Escola de Dados,"A Escola de Dados oferece a organizações da sociedade civil, jornalistas e cidadãos ferramentas para que possam ler e analisar dados da melhor forma possível.","A Escola de Dados oferece a organizações da sociedade civil, jornalistas e cidadãos ferramentas para que possam ler e analisar dados da melhor forma possível.","La Escuela de Datos ofrece a las organizaciones de la sociedad civil, periodistas y ciudadanos herramientas para que puedan leer y analizar datos de la mejor manera posible.","Escola de Dados (Data School) offers to civil society organizations, journalists and citizens tools to read and analyse data in the best way possible.",http://escoladedados.org/,,Brasil,Internacional,Open Knowledge Foundation,Digital,Empoderamento,,Transparência e Accountability,Cultura Política,", Curso",TRUE,,,,,,,"Eventos (Seminário, Fórum, Colóquio, Conferência, Debate, Roda de Conversa e encontros )",,Curso,,Banco de dados,,,,,
141,Escuela Anticorrupción,"Por todo ello, creemos que estamos en condiciones de sistematizar lo aprendido y transferir ese conocimiento, de manera ordenada y a la vez estimulante, a otras personas u organizaciones que tengan interés en fortalecer sus capacidades para entender la corrupción en el Perú y para combatirla. La Escuela Anticorrupción es la respuesta que hemos encontrado para canalizar nuestros esfuerzos hacia el logro de ese objetivo.","Portanto, acreditamos que somos capazes de sistematizar o que foi aprendido e transferir esse conhecimento, de uma forma ordenada e ao mesmo tempo estimulante, para outras pessoas ou organizações que estejam interessadas em reforçar a sua capacidade de compreender a corrupção no Peru e para combatê-la. A Escuela Anticorrupción (Escola Anticorrupção) é a resposta que temos encontrado para canalizar os nossos esforços no sentido de atingir esse objetivo.","Por todo ello, creemos que estamos en condiciones de sistematizar lo aprendido y transferir ese conocimiento, de manera ordenada y a la vez estimulante, a otras personas u organizaciones que tengan interés en fortalecer sus capacidades para entender la corrupción en el Perú y para combatirla. La Escuela Anticorrupción es la respuesta que hemos encontrado para canalizar nuestros esfuerzos hacia el logro de ese objetivo.","Therefore, we believe we can systematize what was learned and pass this knowledge on,orderly and at the same time stimulating, so other people or organizations can be interested in enhance their ability of understanding corruption in Peru and fight against it. Escuela Anticorrupción (Anti-Corruption School) is the answer we found to channel our efforts towards this objective.",http://www.redanticorrupcion.pe/?page_id=892,,Peru,Nacional,Proetica,Social,Empoderamento,,Cultura Política,,", Oficina, Pedagogia política, Curso",false,,,,,,,"Eventos (Seminário, Fórum, Colóquio, Conferência, Debate, Roda de Conversa e encontros )",,Curso,Sistematização de conhecimento,,,,,,
142,Escuelab,[no hay cambio sin experimento],Não há mudança sem experimentação.,[no hay cambio sin experimento],There is no change without experimentation.,http://escuelab.org/,Lima,Peru,Local,,Social,Empoderamento,,Transparência e Accountability,Cultura Política,", Oficina, Vivência, Banco de dados",,,,,,,,Hackton,,Curso,,,,,,,
143,Escuelas ASI,"Es un modelo catalizador cuyo objetivo es promover comunidades educativas abiertas, sustentables, saludables e inclusivas a través del empoderamiento juvenil. Esta iniciativa pretende formar agentes de cambio para que diseñen e implementen acciones transformadora en diversos temas prioritarios en sus escuelas.","É um modelo catalisador que visa promover comunidades educacionais abertas, sustentáveis, saudáveis e inclusivas através do empoderamento da juventude. Esta iniciativa visa formar agentes de mudança para projetar e implementar ações transformadoras em várias questões prioritárias em suas escolas.","Es un modelo catalizador cuyo objetivo es promover comunidades educativas abiertas, sustentables, saludables e inclusivas a través del empoderamiento juvenil. Esta iniciativa pretende formar agentes de cambio para que diseñen e implementen acciones transformadora en diversos temas prioritarios en sus escuelas.","It is a catalyst model that aims through empowerment of youth to promote open, sustainable, healthy and inclusive educational communities. This initiative seeks to form agents of change to plan and implement transformative actions focused in several prioritary issues in their schools.",http://www.escuelasasi.org/,,México,Local,PIDES,Digital,Empoderamento,,Cultura Política,,", Curso, Co-Criação, Crowdsourcing, Seminário",,,,,,,,,,"Vivência, Curso",,,,,,,
144,Espaço Cultural Luiz Estrela,"Pessoas, diversas organizações e coletivos buscavam um lugar na cidade de Belo Horizonte para chamar de ‘nosso’, e acharam um hospital militar antigo e abandonado, da década 20. Esse grupo de pessoas  resolveu ocupar aquele lugar  para transformá-lo num espaço cultural e de acesso público. Em 2014 receberam uma concessão pública para se tornar um centro cultural.","Pessoas, diversas organizações e coletivos buscavam um lugar na cidade de Belo Horizonte para chamar de ‘nosso’, e acharam um hospital militar antigo e abandonado, da década 20. Esse grupo de pessoas  resolveu ocupar aquele lugar  para transformá-lo num espaço cultural e de acesso público. Em 2014 receberam uma concessão pública para se tornar um centro cultural.","Tanto personas como diversas organizaciones y colectivos buscaban un lugar en la ciudad de Belo Horizonte que pudiesen llamarlo ""nuestro"", y encontraron un hospital militar antiguo y abandonado de la década de 20. Ese grupo de personas decidió ocupar ese lugar para transformarlo en un espacio cultural y de acceso público. En 2014 se les dio una concesión pública para que se torne un centro cultural.","People, several organizations and collectives were looking for a place in Belo Horizonte city to call 'their own', and they found an old abandoned military hospital of the 1920s. This group of people decided to transform it in a cultural space of public access. In 2014 they received public concession to become a cultural center.",https://pt-br.facebook.com/espacoluizestrela,Belo Horizonte,Brasil,Local,,Social,Empoderamento,,Cultura Política,,"Assembléia, Debate político, Ocupação, Atividades culturais, Vivência",,,,,,,,Festival,Atividades Culturais,Vivência,,,,,,,
145,Especial Paraguai,Série de reportagens sobre a situação política do Paraguai,Série de reportagens sobre a situação política do Paraguai,Reportajes sobre la situación política de Paraguay,Series of news reports about Paraguay's political situation.,http://apublica.org/assunto/especial-paraguai/,São Paulo,Brasil,Regional,Agência Pública,Social,Empoderamento,,Comunicação Independente,,", artigos, Cobertura Colaborativa",TRUE,,,,,,,,,,"Estudo, Ensaio, Sistematização de conhecimento",,,,Reportagem,,
148,Explica la Ley,Traducimos la ley para ciudadanos no familiarizados con la jerga legislativa,Traduzimos a lei para cidadãos não familiarizados com o jargão legislativo.,Traducimos la ley para ciudadanos no familiarizados con la jerga legislativa,We translate the law for citizens unfamiliarized with its specific jargon.,http://www.explica.la/ley,,México,Nacional,Codeando México,Digital,Empoderamento,,Cultura Política,,", Pedagogia política, Infoativismo",TRUE,,,,,,,,,Manual,Sistematização de conhecimento,Banco de dados,,,,,
150,Fast Food da Política,"O Fast Food da Política propõe uma abertura de código do sistema político brasileiro e suas inúmeras criptografias, através da gamificação. Acreditamos que se a política puder ser divertida, o contato com essa coisinha marrenta, pode mover o mundo.","O Fast Food da Política propõe uma abertura de código do sistema político brasileiro e suas inúmeras criptografias, através da gamificação. Acreditamos que se a política puder ser divertida, o contato com essa coisinha marrenta, pode mover o mundo.","El Fast food da Política (Fast Food de la Política) propone una apertura de código del sistema político brasileño y de sus innúmeras criptografías, a través de la gamificación. Creemos que si la política se torna divertida, el contacto con ella puede mover el mundo.","Fast Food da Política (Politics Fast Food) proposes, through gamification, an oppening of Brazilian political system and its countless criptographies. We believe politics can be fun, contact with this nasty little thing, can move the world.",http://fastfooddapolitica.org.br/,,Brasil,Nacional,,Social,Empoderamento,,Cultura Política,,", Ação cívica, Pedagogia política, Jogo",TRUE,,,,,,,,Campanha de Sensibilização,Jogo,,,,,,,
151,Feira Nacional da Reforma Agrária,"Entre os dias 22/10 e 25/10, mais de 800 agricultoras(es) de 23 estados mais o Distrito Federal estarão presentes na 1° Feira Nacional da Reforma Agrária no Parque da Água Branca, em São Paulo.A população paulistana terá acesso a toneladas de alimentos a preços populares, produzidos nas áreas de assentamentos da Reforma Agrária de todas as regiões do país.","Entre os dias 22/10 e 25/10, mais de 800 agricultoras(es) de 23 estados mais o Distrito Federal estarão presentes na 1° Feira Nacional da Reforma Agrária no Parque da Água Branca, em São Paulo. A população paulistana terá acesso a toneladas de alimentos a preços populares, produzidos nas áreas de assentamentos da Reforma Agrária de todas as regiões do país.","Entre los días 22/10 y 25/10, más de 800 agricultoras(es) de 23 Estados y del Distrito Federal estarán presentes en la 1ª Feria Nacional de la Reforma Agraria en el parque de Agua Branca, en São Paulo. La población de este estado tendrá acceso a toneladas de alimentos a precios populares producidos en áreas de asentamientos de la Reforma Agraria viniendo de todas las regiones del país. ","Between October 22nd and 25th more than 800 croppers from 23 states and the Federal District were at the Primeira Feira Nacional de Reforma Agrária (First National Fair of Agricultural Reform) at the Água Branca Park in São Paulo. City's population had access to tons of food at modest prices, produced in settlements of Agricultural Reform in all the regions of the country.",http://www.mst.org.br/feira-reforma-agraria/,São Paulo,Brasil,Nacional,MTST,Social,Empoderamento,,Cultura Política,,"Roda de conversa, Festival",,,,,,,,"Eventos (Seminário, Fórum, Colóquio, Conferência, Debate, Roda de Conversa e encontros )",Campanha de Sensibilização,,,,,,,,
152,Feminicidade,"A fim de resgatar o sentido original do seu dia, o Atados em parceria com SP Invisível, Círculo de Sonhadoras, Fábrica de Sonhos, Acupuntura Urbana e Hey Sampa, criaram a campanha Feminicidade, que teve como objetivo inspirar pessoas a celebrar o Dia Internacional da Mulher por meio de histórias de mulheres e seus olhares.","A fim de resgatar o sentido original do seu dia, o Atados em parceria com SP Invisível, Círculo de Sonhadoras, Fábrica de Sonhos, Acupuntura Urbana e Hey Sampa, criaram a campanha Feminicidade, que teve como objetivo inspirar pessoas a celebrar o Dia Internacional da Mulher por meio de histórias de mulheres e seus olhares.","Con la finalidad de rescatar su sentido original, Atados (Atados), juntos con SP Invisível (SP Invisible), Círculo de Sonhadoras (Círculo de Soñadoras), Fábrica de Sonhos (Fábrica de Sueños), Acupuntura Urbana (Acupuntura Urbana) y Hey Sampa (Hey Sampa), crearon la campaña Feminicidade (Feminicidad), que tiene el objetivo de inspirar personas a celebrar el Día Internacional de la Mujer a través de historias de mujeres y sus perspectivas.","To recapture the meaning of the holiday that tributes women, Atados (Tied Together) in partnership with SP Invisível (Invisible São Paulo), Acupuntura Urbana (Urban Acupuncture) and Hey Sampa, created Feminicidade campaign, that had as objective inspiring people to celebrate International Women's Day through stories of women and their perspective.",http://www.feminicidade.com.br/,São Paulo,Brasil,Nacional,Acupuntura Urbana; SP Invisível; Círculo de Sonhadoras; Fábrica de Sonhos; Hey Sampa; Atados,Social,Empoderamento,,Cultura Política,,", Campanha, Atividades culturais, Infoativismo, Encontro",,,,,,,,"Eventos (Seminário, Fórum, Colóquio, Conferência, Debate, Roda de Conversa e encontros )",Intervenção Artística,,,,,,,,
