ID,name,description - ORIGINAL,description_pt,description_es,description_en,website,city,placesOfOriginIds,placesOfOriginNames,incidencyReach,relatedHubsNames,parentHubNames,nature,,isSponsor,Observações,"(hubs) Existem cadastramentos que derivam da iniciativa que acabou de classificar? Se sim, marque:",Quais? usar ;,,,,,,,,,,,,,,,,,
491,Comisión de Alto Nivel Anticorrupción,"La COMISIÓN DE ALTO NIVEL ANTICORRUPCIÓN (CAN-Anticorrupción), es un espacio integrado por instituciones públicas, privadas y la sociedad civil que tiene por objeto articular esfuerzos, coordinar acciones y proponer políticas de mediano y largo plazo dirigidas a prevenir y combatir la corrupción en el país.","A COMISIÓN DE ALTO NIVEL ANTICORRUPCIÓN (CAN-Anticorrupción) (COMISSÃO DE ALTO NÍVEL ANTICORRUPÇÃO) (CAN-Anticorrupção) é um espaço integrado por instituições públicas, privadas e a sociedade civil, que tem por objetivo articular esforços, coordenar ações e propor políticas de médio e longo prazo dirigidas a prevenir e combater a corrupção no país.","La COMISIÓN DE ALTO NIVEL ANTICORRUPCIÓN (CAN-Anticorrupción), es un espacio integrado por instituciones públicas, privadas y la sociedad civil que tiene por objeto articular esfuerzos, coordinar acciones y proponer políticas de mediano y largo plazo dirigidas a prevenir y combatir la corrupción en el país.","A COMISIÓN DE ALTO NIVEL ANTICORRUPCIÓN (High-level Anti-corruption Commission) (CAN-Anticorrupción) is integrated by public and private institutions and civil society, with the goal of articulating efforts, coordinating actions and proposing mid- and long-term solutions towards preventing and fighting corruption in the country.",http://can.pcm.gob.pe/,Lima,PE,Peru,National,,,Government,,,,,,,,,,,,,,,,,,,,,,
492,Conexión  Fondo de Emancipación,"Somos una iniciativa estratégica dirigida a obtener cambios emancipatorios en las relaciones de poder de género en lo político, económico, social y cultural, a través de la gestión de conocimientos, el financiamiento y acompañamiento a organizaciones de la sociedad civil.","Somos uma iniciativa estratégica dirigida a obter mudanças emancipatórias nas relações de poder de gênero no político, econômico, social e cultural, através da gestão de conhecimentos, do financiamento e acompanhamento a organizações da sociedade civil.","Somos una iniciativa estratégica dirigida a obtener cambios emancipatorios en las relaciones de poder de género en lo político, económico, social y cultural, a través de la gestión de conocimientos, el financiamiento y acompañamiento a organizaciones de la sociedad civil.","We are a strategic initiative aimed at obtaining emancipatory change in the power relations of gender in the political, economic, social and cultural areas, through knowledge management, financing and accompanying civil society organizations.",http://www.conexion.org.bo/,La Paz,BO,Bolívia,National,,HIVOS; OXFAM,NGO,,,,"Sinais, Financiadores",,,,,,,,,,,,,,,,,,
493,Consejo Civico,"Somos una Asociación de asociaciones, fundada en 1975. Somos apartidistas y de afiliación voluntaria. Agrupamos más de 80 instituciones MISIÓN: construir juntos una mejor sociedad, ciudadanos y gobierno, articulando esfuerzos entre organizaciones, compartiendo mejores prácticas y generando proyectos en común.","Somos uma Associação de associações, fundada em 1975. Somos apartidários e de afiliação voluntária. Agrupamos mais de 80 instituições. MISSÃO: construir juntos uma melhor sociedade, cidadãos e governo, articulando esforços entre organizações, compartilhando melhores práticas e gerando projetos em comum.","Somos una Asociación de asociaciones, fundada en 1975. Somos apartidistas y de afiliación voluntaria. Agrupamos más de 80 instituciones MISIÓN: construir juntos una mejor sociedad, ciudadanos y gobierno, articulando esfuerzos entre organizaciones, compartiendo mejores prácticas y generando proyectos en común.","We are an Association of associations, founded in 1975. We are nonpartisan and voluntary. We bring together over 80 institutions. MISSION: to collectively build a better society, better citizens and government, articulating efforts between organizations, sharing the best practices and generating common projects.",http://www.consejocivico.org.mx/,,MX,México,Local,,,Constellations,,,,,"A Favor de lo Mejor, A.C. Alternativas Pacíficas, A.C. Anima Urbis, A.C./Bosque Urbano México ASIS Capítulo México Norte Asociación de Colonos Contry La Silla, A.C. Asociación de Colonos de Villa Montaña, A.C. Asociación de Fabricantes de Muebles de NL, A.C. Asociación de Maquiladoras y Manufactureras de Exportación de NL, A.C. Asociación de Residentes de la Colonia Obispado Asociación de Residentes de la Colonia Privada Sierra Madre, A.C. Asociación Ecológica de la Sierra de Picachos, A.C. Asociación Mexicana de Agentes de Seguros y Finanzas, A.C. Asociación Mexicana de Hoteles de Nuevo León, A.C. Asociación Mexicana de Mujeres Empresarias Capítulo NL, A.C. (AMMJE) Asociación Mexicana de la Cruz Roja Delegación Monterrey, I.A.P. Asociación Nacional Cívica Femenina, A.C. (ANCIFEM) Ciudad de los Niños de Monterrey, A.B.P Voluntarios en Equipo Trabajando por la Superación con Amor A.C Asociación Mexicana de Hoteles de Nuevo León, A.C Asociacion Nacional Cívica Femenina A.C Asociación Nacional de Desarrollo Ejecutivo y Empresarial, A.C. Asociación Nacional de Empresarios Independientes, A.C. (ANEI) AVANCE por los Derechos de México, A.C. Barra Mexicana Colegio de Abogados, A.C. Boys Hope Girls Hope A.B.P. (Ser y Crecer) Ciudadanos en Apoyo a los Derechos Humanos, A.C. (CADHAC) Cámara de la Industria de Transformación de Nuevo León, A.C. (CAINTRA) Cámara de Propietarios de Bienes Raíces deL Estado de Nuevo León, A.C. Cámara Nacional de la Industria de Desarrollo y Promoción de Vivienda, A.C. (CANADEVI) Cámara Nacional de Comercio, Servicios y Turismo de Monterrey, A.C. (CANACO) Cámara Nacional de la Industria de las Artes Gráficas Delegación Nuevo León (CANAGRAF) Cámara Nacional de la Industria de Restaurantes y Alimentos Condimentados de Nuevo León, A.C. (CANIRAC) Cáritas de Monterrey, A.C. Casa para Ancianos Monte Carmelo, A.C. Casino del Valle, A.C. Planetario Alfa Cento de Ciencias y Arte, A.C. Centro Bancario del Estado de Nuevo León, A.C. Centro Cultural Loyola de Monterrey, A.C. Centro de Ayuda Para la Mujer Latinoamericana, A.C. (CAM) Centro de Competitividad de Monterrey, A.C. Centro de Estudios Sociales del Noreste, A.C. Centro de Esutidos sobre la Enseñanza y el Aprendizaje del Derecho, A.C. (CEEAD) Centro de Mediación Privado, S.A. de C.V. Centro Ecuestre y Polo Monterrey, A.C. Centro Patronal de Nuevo León, A.C. (COPARMEX) Centro de Integración Juvenil, A.C. Centro de Información Ciudadana, A.C. (CIC) Ciudad de los Niños de Monterrey, A.B.P. Ciudadanos contra el abuso en el consumo del alcohol, A.C. (Cruzada Cabal) Club de Futbol Monterrey Rayados, S.A. de C.V. Club de Niños y Niñas de Nuevo León, A.C. Club Internacional de Monterrey, A.C. Club Rotario de Monterrey, A.C. Profesional Club Sembradores de Amistad Regiomontano, A.C. Club Sertoma de la Ciudad de Monterrey, A.C. Colegio de Arquitectos de Nuevo León, A.C. Consejo Internacional de Buena Vecindad, A.C. Sección San Pedro Consejo Mexicano de Comercio Exterior Noreste (Comce Noreste) CreeSer, A.B.P. Cruz Rosa A.B.P. Deliberación e Ideas por México, A.C. Deportivo Sierra Madre Tennis Club, A.C. Educación y Formación OHANA, A.C. Ejecutivos de Relaciones Industriales, A.C. (ERIAC) El Narval Emprendedores Sociales Comprometidos, A.C. Enlazando Esfuerzos Conjuntos, A.C. Evolución Mexicana Fomento Laboral Penitenciario, A.C. Fomento Moral y Educativo, A.C. Fundación CONVIDA, A.C. Fundación Ecopolis, A.C. Género, Ética y Salud Sexual, A.C. (GESSAC) Index Nuevo León Industriales Regiomontanos del Poniente, A.C. (IRPAC) Institución Renace, A.B.P. Instituto de Contadores Públicos de N.L., A.C. Instituto Mexicano de Ejecutivos de Finanzas, A.C. (IMEF) Instituto Nuevo Amanecer, A.B.P. ITESM EGAP Junta de Residentes de la Colonia del Valle, A.C. Junta de Vecinos Colonia Privada Sierra Nevada, A.C. Junta de Vecinos de la Colonia Anáhuac, A.C. Junta de Vecinos de la Colonia Fuentes del Valle, A.C. Junta de Vecinos de la Colonia Hacienda El Rosario, A.C. Movimiento de Activación Ciudadana, A.C. (MOVAC) Niños en Acción / Actuemos Hoy por México, A.C. No a Conducir Ebrio, A.C. (NACE) Parque Ecológico Chipinque, A.B.P. Patronato Cruz Verde Monterrey, A.C. Patronato de Bomberos de Nuevo León, A.C. PazEs Polígono Edison Profesionistas Uniendo Esfuerzos, A.C. Promoción de Paz, A.B.P. Puertas Abiertas, A.B.P. Red Familia Reforestación Extrema, A.C. Sattva, ONG Tejedoras de Cambios, A.C. Universidad de Monterrey (UDEM) Unidos lo Lograremos, A.C. Unidos por el Huajuco Unión Neolonesa de Padres de Familia, A.C. Unión Social de Empresarios de Mexico Monterrey, A.C. Vertebra Vía Educación, A.C. VIDA Y FAMILIA, A.C. (VIFAC) Voluntarios en Equipo Trabajando por la Superación con Amor, A.C. (VETSA)",,,,,,,,,,,,,,,,,
494,ContingenteMX,"Un espacio abierto, autónomo, creativo e incluyente de ciudadanas/os sin vínculos con partidos políticos, gobiernos o grupos religiosos, preocupados por la situación en México y quieren hacer algo por cambiarla.","Um espaço aberto, autônomo, criativo e inclusivo de cidadãs/ãos sem vínculos com partidos políticos, governos ou grupos religiosos, preocupados pela situação no México e que querem fazer algo para mudá-la.","Un espacio abierto, autónomo, creativo e incluyente de ciudadanas/os sin vínculos con partidos políticos, gobiernos o grupos religiosos, preocupados por la situación en México y quieren hacer algo por cambiarla.","An open, autonomous, creative and inclusive space for citizens without relation to political parties, governments or religious groups, concerned about the situation in Mexico and who want to do something to change it.",http://contingentemx.net/,,MX,México,National,,,Informal,,,,,,,,,,,,,,,,,,,,,,
495,DATA Uruguai,"DATA tiene como misión la creación de herramientas para el accionar colectivo, participativo y colaborativo, apoyándose en la comunidad a través de las tecnologías de la información y comunicación y el uso de la información pública. Promoverá la participacion, aportando a facilitar las decisiones de la comunidad y generando nuevos espacios de debate público. ","DATA tem como missão a criação de ferramentas para a ação coletiva, participativa e colaborativa, apoiando-se na comunidade através das tecnologias de informação e comunicação e o uso da informação pública. Promoverá a participação, contribuindo a facilitar as decisões da comunidade e gerando novos espaços de debate público.","DATA tiene como misión la creación de herramientas para el accionar colectivo, participativo y colaborativo, apoyándose en la comunidad a través de las tecnologías de la información y comunicación y el uso de la información pública. Promoverá la participacion, aportando a facilitar las decisiones de la comunidad y generando nuevos espacios de debate público. ","DATA has as its mission to create tools for collective, participative and collaborative action, leaning on community through the use of information and communication technologies and the use of public information. It will promote participation, contributing to facilitate community decisions and generate new spaces for public debate.",http://www.datauy.org,Montividéu,UY,Uruguai,National,,,NGO,,,,"Sinais, Hubs",,,,,,,,,,,,,,,,,,
496,DataPedia,"DataPedia nasce para ampliar a participação qualificada, a partir da compreensão do contexto de sociedade. ","DataPedia nasce para ampliar a participação qualificada, a partir da compreensão do contexto de sociedade.","DataPedia ha nacido para ampliar la participación caalificada, desde la comprensión del contexto de la sociedad.","DataPedia was created to increase qualified participation, through comprehension of the context of society.",http://www.datapedia.info/#!inicio/mainPage,,BO,Bolívia,National,,,Company,,,,Sinais,,,,,,,,,,,,,,,,,,
497,Decidamos,"Contribuir a la formación de una ciudadanía activa, crítica, organizada y pluralista, tendiente a la construcción de una democracia con justicia social y disfrute de los Derechos Humanos.","Contribuir para a formação de uma cidadania ativa, crítica, organizada e pluralista, disposta à construção de uma democracia com justiça social ezelo pelos Direitos Humanos.","Contribuir a la formación de una ciudadanía activa, crítica, organizada y pluralista, tendiente a la construcción de una democracia con justicia social y disfrute de los Derechos Humanos.","Contribute to the formation of an active, critical, organized and pluralist citizenry, willing to construct democracy with social justice and zeal for Human Rights.",http://www.decidamos.org.py/,,PY,Paraguai,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
498,Democracia & Desarrollo Internacional,"D&D Internacional cree firmemente en los beneficios que pueden obtener los ciudadanos y los distintos ámbitos de la sociedad al adaptarse y utilizar adecuadamente Internet, las nuevas tecnologías de la información y las plataformas digitales.","D&D Internacional crê firmemente nos benefícios que podem obter os cidadãos e os distintos âmbitos da sociedade ao adaptar-se e utilizar adequadamente a Internet, as novas tecnologias da informação e as plataformas digitais.","D&D Internacional cree firmemente en los beneficios que pueden obtener los ciudadanos y los distintos ámbitos de la sociedad al adaptarse y utilizar adecuadamente Internet, las nuevas tecnologías de la información y las plataformas digitales.","D&D International firmly believes in the benefits citizens and the distinct sections of society can obtain when adapting to and properly using the Internet, new information technologies and digital platforms.",http://www.ddint.org/,Lima,PE,Peru,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
499,Democracia en Red,Democracia en Red es una fundación que se dedica a desarrollar y estudiar tecnologías y mecanismos para fomentar la participación ciudadana.,Democracia en Red (Democracia em Rede) é uma fundação que se dedica a desenvolver e estudar tecnologias e mecanismos para fomentar a participação cidadã.,Democracia en Red es una fundación que se dedica a desarrollar y estudiar tecnologías y mecanismos para fomentar la participación ciudadana.,Democracia en Red (Network Democracy) is a foundation dedicated to developing and studying technologies and mechanisms to foment citizen participation.,http://democraciaenred.org/,Buenos Aires,AR,Argentina,National,,,NGO,,,,"Sinais, Hubs, Financiadores",,,,,,,,,,,,,,,,,,
500,DEMUS,"Somos una organización feminista peruana que defiende los derechos humanos, en particular los derechos sexuales y reproductivos de las mujeres, promoviendo su libre ejercicio y cuestionando el paradigma cultural hegemónico sobre las mujeres y su sexualidad.","Somos uma organização feminista peruana que defende os direitos humanos, em particular os direitos sexuais e reprodutivos das mulheres, promovendo seu livre exercício e questionando o paradigma cultural hegemônico sobre as mulheres e sua sexualidade.","Somos una organización feminista peruana que defiende los derechos humanos, en particular los derechos sexuales y reproductivos de las mujeres, promoviendo su libre ejercicio y cuestionando el paradigma cultural hegemónico sobre las mujeres y su sexualidad.","We are a Peruvian feminist organization to defend human rights, women's sexual and reproduction righs in particular, promoting their free exercise and questioning the hegemonic cultural paradigm relating to women and their sexuality.",http://www.demus.org.pe/,,PE,Peru,National,,,NGO,,,,Sinais,,,,,,,,,,,,,,,,,,
501,Derechos Digitales,"Derechos Digitales es una organización de alcance latinoamericano, independiente y sin fines de lucro, fundada en 2005 y que tiene como objetivo fundamental el desarrollo, la defensa y la promoción de los derechos humanos en el entorno digital.","Derechos Digitales (Direitos Digitais) é uma organização de alcance latino-americano, independente e sem fins lucrativos, fundada em 2005 e que tem como objetivo fundamental o desenvolvimento, a defesa e a promoção dos direitos humanos no entorno digital.","Derechos Digitales es una organización de alcance latinoamericano, independiente y sin fines de lucro, fundada en 2005 y que tiene como objetivo fundamental el desarrollo, la defensa y la promoción de los derechos humanos en el entorno digital.","Derechos Digitales (Digital Rights) is a Latin American reach organization, independent and non-profit, founded in 2005 and which has as its main goal to develop, defend and promote human rights in the digital environment.",https://www.derechosdigitales.org,Santiago,CL,Chile,Regional,,,NGO,,,,"Sinais, Hubs",,,,,,,,,,,,,,,,,,
502,Despertar Ciudadano,"Despertar Ciudadano es una organización política que surge como respuesta a los reclamos de ciudadanos/as que demandan una mejor representación de la dirigencia política en todos los niveles, en torno a los temas que afectan a los intereses colectivos dentro de la sociedad. Aspira y lucha por construir un país con justicia social. La fuerza de Despertar Ciudadano se cimenta sobre su espíritu profundamente transformador y democrático, su carácter innovador en la forma de hacer política y en la correcta utilización de las TICs en la gestión pública poniéndolas al servicio del desarrollo social","Despertar Ciudadano (Despertar Cidadão) é uma organização política que surge como resposta às reivindicações de cidadãos/ãs que demandam uma melhor representação da liderança política em todos os níveis, próxima aos temas que afetam os interesses coletivos dentro da sociedade. Aspira e luta por construir um país com justiça social. A força deDespertar Ciudadanose solidifica sobre seu espírito profundamente transformador e democrático, seu caráter inovador na forma de fazer política e nacorreta utilização das TICs na gestão pública dispondo-as ao serviço do desenvolvimento social.","Despertar Ciudadano es una organización política que surge como respuesta a los reclamos de ciudadanos/as que demandan una mejor representación de la dirigencia política en todos los niveles, en torno a los temas que afectan a los intereses colectivos dentro de la sociedad. Aspira y lucha por construir un país con justicia social. La fuerza de Despertar Ciudadano se cimenta sobre su espíritu profundamente transformador y democrático, su carácter innovador en la forma de hacer política y en la correcta utilización de las TICs en la gestión pública poniéndolas al servicio del desarrollo social","Despertar Ciudadano (Citizen Awakening) is a political organization that has come as an answer to citizen demands for more representation in political leaderships in all levels, closely to the themes which affect collective interests in society. It aspires and fights to build social justice in the country. The strength of Despertar Ciudadano is solidified by its profoundly transforming and democratic spirit, the innovative character of its form of doing politics and the correct utilization of ICT in public management, putting the technology at the service of social development.",https://medium.com/@despertatepy,,PY,Paraguai,National,,,Party,,,,,,,,,,,,,,,,,,,,,,
503,Directorio Legislativo,"La Fundación Directorio Legislativo es una organización apartidaria, que promueve el fortalecimiento de los poderes legislativos y la consolidación del sistema democrático a través del diálogo, la transparencia y el acceso a la información pública.","A Fundación Directorio Legislativo (Fundação Diretório Legislativo) é uma organização apartidária, que promove o fortalecimento dos poderes legislativos e a consolidação do sistema democrático através do diálogo, a transparência e o acesso à informação pública.","La Fundación Directorio Legislativo es una organización apartidaria, que promueve el fortalecimiento de los poderes legislativos y la consolidación del sistema democrático a través del diálogo, la transparencia y el acceso a la información pública.","Fundación Directorio Legislativo (Legislative Directorate Foundation) is a nonpartisan organization, promoting the strengthening of legislative powers and the consolidation of the democratic system through dialog, transparency and access to public information.",http://www.directoriolegislativo.org/,Bologna,AR,Argentina,National,,,NGO,,,para buscar sinaishttp://www.directoriolegislativo.org/areas-trabajo/transparencia-legislativa/,"Sinais, Financiadores",,,,,,,,,,,,,,,,,,
504,Direitos Urbanos Recife,O grupo Direitos Urbanos | Recife surgiu da articulação de pessoas interessadas em política e preocupadas com os problemas da cidade do Recife.,O grupo Direitos Urbanos | Recife surgiu da articulação de pessoas interessadas em política e preocupadas com os problemas da cidade do Recife.,El grupo Direitos Urbanos | Recife (Derechos Urbanos | Recife) surgió de la articulación de personas interesadas en política y preocupadas con los problemas de la ciudad de Recife.,Direitos Urbanos | Recife (Urban Rights | Recife) came from the articulation of people interested in politics and concerned about the problems of the city of Recife.,https://direitosurbanos.wordpress.com/,Recife,BR,Brasil,Local,,,Informal,,,,,,,,,,,,,,,,,,,,,,
505,El Narval,El Narval ofrece servicios de consultoría para la creación y la activación de comunidades. Apoyamos el desarrollo de una conciencia cívica entre vecinos y asesoramos a instituciones y empresas en la construcción de vínculos con sus comunidades inmediatas.,O Narval oferece serviços de consultoria para a criação e a ativação de comunidades. Apoiamos o desenvolvimento de umaconsciência cívica entre vizinhos e assessoramos instituições e empresas na construção de vínculos com suas comunidades contíguas.,El Narval ofrece servicios de consultoría para la creación y la activación de comunidades. Apoyamos el desarrollo de una conciencia cívica entre vecinos y asesoramos a instituciones y empresas en la construcción de vínculos con sus comunidades inmediatas.,Narval (Narwhal) offers consultancy services for community creation and activation. We support the development of citizen awareness and advise institutions and companies in the construction of ties with their adjacent communities.,http://www.elnarval.org/,,MX,México,Local,,,NGO,,,Varios projetos que podem ser sinais,Sinais,,,,,,,,,,,,,,,,,,
506,Encuentro Social,"Encuentro Social surge como una respuesta de la ciudadanía organizada a las grandes necesidades nacionales. Nuestro partido comenzó a gestarse por un grupo de personas que se articularon a nivel local para resolver problemas comunitarios y de relevancia humana, es por ello que nuestro partido se ve así mismo como una red de organismos sociales activos. Somos ciudadanos comunes que compartimos el deseo y el compromiso de transformar a México en un mejor país a través de la participación activa. Estamos convencidos de que cada persona y cada familia debe estar presente en las decisiones sobre el rumbo que ha de tomar nuestro país.",Encuentro Social (Encontro Social) surge como uma resposta da cidadania organizada às grandes necessidades nacionais. Nosso partido começou a formar-se por um grupo de pessoas que se articularam em nível local para resolver problemas comunitários e de relevância humana. É por isso que nosso partido se vê a si mesmo como uma rede de organismos sociais ativos. Somos cidadãos comuns que compartilhamos o desejo e o compromisso de transformar o México em um país melhor através da participação ativa. Estamos convencidos de que cada pessoa e cada família deve estar presente nas decisões sobre o rumo que há de tomar nosso país.,"Encuentro Social surge como una respuesta de la ciudadanía organizada a las grandes necesidades nacionales. Nuestro partido comenzó a gestarse por un grupo de personas que se articularon a nivel local para resolver problemas comunitarios y de relevancia humana, es por ello que nuestro partido se ve así mismo como una red de organismos sociales activos. Somos ciudadanos comunes que compartimos el deseo y el compromiso de transformar a México en un mejor país a través de la participación activa. Estamos convencidos de que cada persona y cada familia debe estar presente en las decisiones sobre el rumbo que ha de tomar nuestro país.",Encuentro Social (Social Meeting) comes as the citizen answer to the great national necessities. Our party was originally formed by a group of people who articulated locally to solve community problems of human relevance. That is why our party sees itself as a network of socially active organizations. We are ordinary citizens sharing the will and the commitment to make Mexico a better country via active participation. We are conviced that every person and every family must be present in making the decisions on what path our country will take.,http://encuentro.social/,,MX,México,National,,,Party,,,,,,,,,,,,,,,,,,,,,,
507,Enjambre Digital,"Somos un grupo de personas que luchamos por la libertad humana frente a la tendencias que desarrollan a la tecnología como instrumento de control social. Constituimos en 2015 una asociación civil con este objetivo y actualmente desarrollamos las siguientes lineas de acción:1. Investigación sobre las capacidades de vigilancia masiva del los gobiernos y su impacto en las personas.2. Proporcionamos asesoría y acompañamiento legal para usuarios y desarrolladores de internet, y participamos en discusiones públicias sobre Internet y la vigilancia masiva.3. Promovemos prácticas de uso y desarrollo de servicios decentralizados con cifrado punto a punto, y comunicaciones seguras como elementos para la construccón de la libertad en Internet y proporcionamos talleres de autoprotección digital.","Somos um grupo de pessoas que lutamos pela liberdade humana frente às tendências que desenvolvem a tecnologia como instrumento de controle social. Constituímos em 2015 uma associação civil com este objetivo e atualmente desenvolvemos as seguintes linhas de ação: 1. Investigação sobre as capacidades de vigilância massiva dos governos e seu impacto nas pessoas. 2. Proporcionamos assessoria e acompanhamento legal para usuários e fomentadores de internet, e participamos emdiscussões públicas sobre Internet e vigilância massiva. 3. Promovemos práticas de uso e desenvolvimento de serviços descentralizados com cifrado ponto a ponto, e comunicações seguras como elementos para a construção da liberdade na Internet e proporcionamos oficinas de autoproteção digital.","Somos un grupo de personas que luchamos por la libertad humana frente a la tendencias que desarrollan a la tecnología como instrumento de control social. Constituimos en 2015 una asociación civil con este objetivo y actualmente desarrollamos las siguientes lineas de acción:1. Investigación sobre las capacidades de vigilancia masiva del los gobiernos y su impacto en las personas.2. Proporcionamos asesoría y acompañamiento legal para usuarios y desarrolladores de internet, y participamos en discusiones públicias sobre Internet y la vigilancia masiva.3. Promovemos prácticas de uso y desarrollo de servicios decentralizados con cifrado punto a punto, y comunicaciones seguras como elementos para la construccón de la libertad en Internet y proporcionamos talleres de autoprotección digital.","We are a group of people fighting for human freedom in face of the trends to develop technology as a means of social control. In 2005, we established a citizen association with this goal and currently we act along the following lines: 1. Investigation on the world governments as to their mass surveillance capacity and its impact on people. 2. We provide legal counseling and accompaniment to internet users and advocates, and take part in public discussions on the Internet and mass surveillance. 3. We promote use and development of decentralized and encrypted point to point services, and secure communications as elements for building freedom on the Internet and provide workshops on digital self-defense.",http://www.enjambre.net/,,MX,México,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
508,Equipo Latinoamericano de Justicia y Género (ELA),"Nuestra misión es alcanzar la equidad de género a partir de acciones de incidencia, trabajo en redes y el desarrollo de capacidades de actores políticos y sociales, con el fin de mejorar la situación social, política y económica de las mujeres.","Nossa missão é alcançar a equidade de gênero a partir de ações de incidência, trabalho em redes e o desenvolvimento de capacidades de atores políticos e sociais, com o fim de melhorar a situação social, política e econômica das mulheres.","Nuestra misión es alcanzar la equidad de género a partir de acciones de incidencia, trabajo en redes y el desarrollo de capacidades de actores políticos y sociales, con el fin de mejorar la situación social, política y económica de las mujeres.","Our mission is to reach gender equity through actions of impact, working in neworks and developing the capacity of political and social agents, in view of improving the social, political and economical situation of women.",http://www.ela.org.ar/,,AR,Argentina,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
509,Equis: Justicia para las Mujeres,"Equis: Justicia para las Mujeres es una organización feminista que contribuye al ejercicio de los derechos humanos de las mujeres mediante estrategias de acceso a la justicia, incidencia en propuestas de políticas públicas y el fortalecimiento de liderazgos para alcanzar la justicia social.","Equis: Justicia para las Mujeres (Equis: Justiça para as Mulheres) é uma organização feminista que contribui ao exercício dos direitos humanos das mulheres mediante estratégias de acesso à justiça,atuação em propostas de políticas públicas e o fortalecimento de lideranças para alcançar a justiça social.","Equis: Justicia para las Mujeres es una organización feminista que contribuye al ejercicio de los derechos humanos de las mujeres mediante estrategias de acceso a la justicia, incidencia en propuestas de políticas públicas y el fortalecimiento de liderazgos para alcanzar la justicia social.","Equis: Justicia para las Mujeres (Equis: Justice for Women) is a feminist organization which contributes to women's exercise of human rights through access to justice strategies, acting in public policy projects and strengthening leaderships to reach social justice.",http://equis.org.mx/,,MX,México,National,,,NGO,,,,Sinais,,,,,,,,,,,,,,,,,,
510,Escambo Coletivo,"O ESCAMBO COLETIVO é um grupo de intervenção sócio-cultural criado em 2009, por artistas, educadores e ativistas políticos, na cidade do Paulista-PE. O grupo surge com o objetivo de intervir diretamente na paisagem social do bairro de Paratibe, área de moradia e atuação dos seus membros.","O ESCAMBO COLETIVO é um grupo de intervenção sócio-cultural criado em 2009, por artistas, educadores e ativistas políticos, na cidade do Paulista-PE. O grupo surge com o objetivo de intervir diretamente na paisagem social do bairro de Paratibe, área de moradia e atuação dos seus membros.","El ESCAMBO COLETIVO (ESCAMBO COLECTIVO) es un grupo de intervención sociocultural creado en 2009, por artistas, profesores y activistas políticos, en la ciudad de Paulista-PE. El grupo surgió con el objetivo de intervenir directamente en el contexto social del barrio de Paratibe, área de habitación y actuación de sus miembros.","ESCAMBO COLETIVO (Collective Exchange) is a group for socio-cultural intervention created in 2009 by artists, educators and political activists in the city of Paulista-PE. The group has the objective of acting directly upon the social scenery of the neighborhood of Paratibe, where its members live and work.",https://www.facebook.com/Escambo-Coletivo-140443739405999/,Paulista,BR,Brasil,Local,,,Informal,,,,Sinais,,,,,,,,,,,,,,,,,,
511,Escola de Ativismo,"A Escola de Ativismo se dedica à promoção e multiplicação de processos de aprendizagem e produção de conhecimento em ativismo para aumentar a capacidade de incidência das organizações, movimentos e coletivos e fortalecer os agentes políticos que atuam na promoção e defesa da sustentabilidade, dos direitos humanos e da democracia.","A Escola de Ativismo se dedica à promoção e multiplicação de processos de aprendizagem e produção de conhecimento em ativismo para aumentar a capacidade de incidência das organizações, movimentos e coletivos e fortalecer os agentes políticos que atuam na promoção e defesa da sustentabilidade, dos direitos humanos e da democracia.","La Escola de Ativismo (Escuela de Activismo) se dedica a la promoción y multiplicación de procesos de aprendizaje y producción de conocimientos en activismo para aumentar la capacidad de incidencia de las organizaciones, movimientos y colectivos y fortalecer los agentes políticos que actúan en la promoción y defensa de la sustentabilidad, de los derechos humanos y de la democracia.","Escola de Ativismo (Activism School) is dedicated to the multiplication of learning and production of knowledge processes in activism, in order the increase impact capacity of organizations, movements and collectives, and strengthen political agents who work on the promotion and defense of sustainability, human rights and democracy.",https://ativismo.org.br/,,BR,Brasil,National,,,NGO,,,,Sinais,,,,,,,,,,,,,,,,,,
512,Espacio Publico,"Espacio Público, es una asociación civil, sin fines de lucro, no gubernamental, independiente y autónoma de partidos políticos, instituciones religiosas, organizaciones internacionales o gobierno alguno, que tiene como finalidad la promoción y defensa de los derechos humanos, especialmente la libertad de expresión; el derecho a la información y la responsabilidad social en los medios de comunicación social.","Espacio Público (Espaço Público) é uma associação civil, sem fins lucrativos, não governamental, independente e autônoma de partidos políticos, instituições religiosas, organizações internacionais ou governo algum, que tem como finalidade a promoção e defesa dos direitos humanos, especialmente a liberdade de expressão; o direito à informação e a responsabilidade social nos meios de comunicação social.","Espacio Público, es una asociación civil, sin fines de lucro, no gubernamental, independiente y autónoma de partidos políticos, instituciones religiosas, organizaciones internacionales o gobierno alguno, que tiene como finalidad la promoción y defensa de los derechos humanos, especialmente la libertad de expresión; el derecho a la información y la responsabilidad social en los medios de comunicación social.","Espacio Público (Public Space) is a non-profit civic association, nongovernmental, independent and not affiliated with any political party or religious institution, international organizations or governments, which has the goal of promoting and defending human rigths, specially freedom of speech; the right to information and social responsibility in social communication media.",http://www.espaciopublico.org/,,VE,Venezuela,National,,,NGO,,,http://www.espaciopublico.org/index.php/programas,Sinais,,,,,,,,,,,,,,,,,,
